series,mae,rmse,mape,actual_1,predicted_1,error_1,actual_2,predicted_2,error_2,actual_3,predicted_3,error_3,actual_4,predicted_4,error_4,actual_5,predicted_5,error_5,actual_6,predicted_6,error_6,actual_7,predicted_7,error_7,actual_8,predicted_8,error_8,actual_9,predicted_9,error_9,actual_10,predicted_10,error_10,actual_11,predicted_11,error_11,actual_12,predicted_12,error_12,actual_13,predicted_13,error_13,actual_14,predicted_14,error_14,actual_15,predicted_15,error_15,actual_16,predicted_16,error_16,actual_17,predicted_17,error_17,actual_18,predicted_18,error_18,actual_19,predicted_19,error_19,actual_20,predicted_20,error_20,actual_21,predicted_21,error_21,actual_22,predicted_22,error_22,actual_23,predicted_23,error_23,actual_24,predicted_24,error_24
series_59,3985.1050771875,4679.799511357792,4.587589361196726,81882.59783,78671.53125,-3211.066579999999,77677.75181,80561.546875,2883.7950649999984,89609.57428,81504.7265625,-8104.847717500001,91156.71739,85587.3671875,-5569.350202500005,85984.73732,89117.4375,3132.70018,93929.22101,86855.21875,-7074.002259999994,87881.48732,83159.140625,-4722.346695,83743.57609,80083.6640625,-3659.9120275000023,83879.10688,81416.0703125,-2463.0365675000066,78231.5308,78957.4921875,725.9613875000068,75108.25362,75872.8671875,764.6135674999969,73617.49819,75034.0,1416.5018100000016,86853.50543,78893.421875,-7960.083555000005,79728.2029,82220.796875,2492.593974999996,89849.0163,82338.9609375,-7510.055362500003,94621.07428,86158.9375,-8462.13678,92056.91848,88178.1171875,-3878.801292499993,93404.40942,87107.6171875,-6296.792232499996,83487.24457,84071.6953125,584.4507425000047,85967.53623,82460.0703125,-3507.465917499998,84369.79348,83005.546875,-1364.246604999993,78503.32971,80109.875,1606.5452899999946,78721.71196,73562.4375,-5159.2744600000005,76465.09783,73373.15625,-3091.941579999999
series_60,2019.4308014322921,2367.507887936775,17.685307416046857,12071.28,11153.6318359375,-917.6481640625007,12980.8,11929.759765625,-1051.0402343749993,12912.12,12606.123046875,-305.9969531250008,11228.778,11558.55078125,329.77278124999975,12192.97,11348.9072265625,-844.0627734374993,13067.239,12160.642578125,-906.5964218749996,15204.996,12055.1806640625,-3149.815335937499,14321.38,13125.923828125,-1195.4561718749992,13197.45,10931.2060546875,-2266.2439453125007,13464.217,11380.009765625,-2084.2072343750006,10456.32,12255.3720703125,1799.0520703125003,9341.7,12257.7744140625,2916.0744140624993,11075.564,12714.8857421875,1639.3217421874997,13293.22,12399.505859375,-893.7141406249993,9628.67,12275.607421875,2646.937421875,13292.05,12892.20703125,-399.8429687499993,11086.9,13000.724609375,1913.8246093750004,13193.81,14862.92578125,1669.1157812500005,12266.0,14530.970703125,2264.970703125,10797.03,14270.513671875,3473.4836718749993,11008.011,14763.3818359375,3755.3708359374996,10463.309,14547.4423828125,4084.1333828125007,11614.34,14724.8896484375,3110.5496484375,10329.441,15178.548828125,4849.107828124999
series_61,32908.0803125,41753.0945461172,6.207110076494969,547919.607,536497.0625,-11422.54449999996,477119.153,508864.4375,31745.28450000001,511169.895,479263.1875,-31906.70750000002,468601.211,508569.28125,39968.07024999999,538470.775,556195.25,17724.474999999977,551229.409,548363.0,-2866.408999999985,508547.582,551002.0,42454.418000000005,521580.226,541670.0,20089.773999999976,496822.02,510620.71875,13798.698749999981,495647.298,464212.9375,-31434.36050000001,453568.203,465589.28125,12021.07825000002,459470.119,509914.875,50444.755999999994,638240.903,541610.4375,-96630.46550000005,484554.604,509206.5625,24651.958500000008,550102.55,492252.0,-57850.55000000005,514563.463,513016.875,-1546.5879999999888,542258.063,532938.6875,-9319.375499999966,617035.758,543931.8125,-73103.94550000003,569171.48,537841.25,-31330.22999999998,521946.913,545352.3125,23405.3995,509593.008,507689.4375,-1903.5704999999725,510000.922,429799.84375,-80201.07825000002,524759.348,455628.375,-69130.973,524789.842,509946.625,-14843.216999999946
series_62,2234.4078859049473,2608.6843566329258,23.95268543966713,10175.243,7532.443359375,-2642.7996406250004,10507.753,7349.6611328125,-3158.0918671875006,11393.738,7401.44921875,-3992.2887812499994,11069.472,7508.17919921875,-3561.2928007812498,12255.629,7648.0869140625,-4607.542085937501,11555.863,7870.724609375,-3685.1383906249994,11696.583,8070.078125,-3626.5048750000005,11828.979,8138.36474609375,-3690.6142539062494,11970.109,8145.14208984375,-3824.9669101562504,11293.73,7789.138671875,-3504.5913281249996,8182.206,7511.884765625,-670.3212343750001,6387.854,7788.5693359375,1400.7153359374997,6623.119,7620.15966796875,997.0406679687503,6029.96,8230.4609375,2200.5009375,6304.185,7918.47607421875,1614.2910742187496,5666.129,8358.47265625,2692.34365625,6100.167,8474.408203125,2374.2412031249996,8422.495,8352.3818359375,-70.1131640625008,7487.694,8492.615234375,1004.9212343749996,8002.906,8762.58203125,759.67603125,8536.948,8115.53369140625,-421.4143085937503,9061.167,7902.31103515625,-1158.8559648437495,9325.62,7859.7724609375,-1465.8475390625008,8293.7,8795.3759765625,501.6759765624993
series_63,7.926825404167175,9.009691438254288,187.74343328047638,15.0,14.37364387512207,-0.6263561248779297,2.5,11.906134605407715,9.406134605407715,13.0,13.904581069946289,0.9045810699462891,5.0,11.238018989562988,6.238018989562988,6.5,13.677556991577148,7.177556991577148,10.0,13.298773765563965,3.298773765563965,5.0,13.51070499420166,8.51070499420166,10.5,12.029022216796875,1.529022216796875,6.5,24.595184326171875,18.095184326171875,10.0,17.104703903198242,7.104703903198242,2.5,13.291571617126465,10.791571617126465,5.0,14.02708911895752,9.02708911895752,5.0,14.614596366882324,9.614596366882324,14.0,18.96857452392578,4.968574523925781,2.0,15.942365646362305,13.942365646362305,5.0,13.986194610595703,8.986194610595703,2.5,15.753998756408691,13.253998756408691,6.5,12.872638702392578,6.372638702392578,7.5,13.726808547973633,6.226808547973633,8.0,12.586073875427246,4.586073875427246,5.0,13.248465538024902,8.248465538024902,0.0,15.756613731384277,15.756613731384277,2.5,10.821634292602539,8.321634292602539,5.0,12.256147384643555,7.256147384643555
series_64,12.85741047668457,16.063245037471322,56.79349585144985,34.805,21.652111053466797,-13.152888946533203,39.726,21.551401138305664,-18.174598861694335,32.306,20.113933563232422,-12.192066436767576,24.886,23.595617294311523,-1.2903827056884758,14.918,41.398643493652344,26.480643493652344,29.72,19.047340393066406,-10.672659606933593,5.0,23.199161529541016,18.199161529541016,24.833,26.147045135498047,1.3140451354980485,29.724,39.2095832824707,9.485583282470703,15.0,28.53388214111328,13.533882141113281,39.718,33.394065856933594,-6.32393414306641,14.919,33.924476623535156,19.005476623535156,29.88,42.83775329589844,12.957753295898438,19.956,47.54781723022461,27.59181723022461,24.959,25.6463623046875,0.6873623046875004,24.948,23.55841827392578,-1.3895817260742191,39.904,60.43374252319336,20.529742523193356,59.838,45.941619873046875,-13.896380126953126,49.83,44.80936050415039,-5.020639495849608,49.943,47.873172760009766,-2.069827239990232,40.0,32.34758377075195,-7.652416229248047,70.0,54.129764556884766,-15.870235443115234,85.0,43.2455940246582,-41.7544059753418,50.0,59.332366943359375,9.332366943359375
series_65,923.3603167317709,1145.1172233452971,5.43921503638681,15604.959,14807.6982421875,-797.2607578125007,15279.948,14973.564453125,-306.3835468750003,16291.5,14769.7900390625,-1521.7099609375,15595.953,15170.43359375,-425.5194062499995,16438.6,15495.568359375,-943.0316406249985,18134.758,16118.1318359375,-2016.6261640625016,18295.757,16484.802734375,-1810.9542656250014,17797.453,16142.1201171875,-1655.3328828125013,16753.183,16687.185546875,-65.9974531250009,17284.731,16248.9951171875,-1035.7358828124998,15558.3,15497.0625,-61.23749999999927,14556.154,15236.287109375,680.1331093749995,16591.016,15207.54296875,-1383.4730312499996,15811.4,15125.9404296875,-685.4595703124996,17518.691,15277.21484375,-2241.476156249999,17218.214,15944.5068359375,-1273.7071640625,15853.997,16119.7919921875,265.7949921875006,18467.635,16250.3759765625,-2217.2590234374984,17039.263,16928.560546875,-110.70245312499901,17381.254,17073.125,-308.1290000000008,16127.413,17080.392578125,952.9795781249995,17159.976,16775.767578125,-384.20842187499875,15645.275,16036.32421875,391.04921875000036,14807.121,15433.607421875,626.4864218750008
series_66,33.445324160257975,35.630057349202204,791.7682086693981,0.301,44.21722412109375,43.91622412109375,86.7,45.934139251708984,-40.76586074829102,86.7,43.281219482421875,-43.41878051757813,0.0,42.925537109375,42.925537109375,86.7,38.627323150634766,-48.07267684936524,24.0,44.03270721435547,20.03270721435547,91.0,38.26481628417969,-52.73518371582031,91.0,42.69843292236328,-48.30156707763672,24.182,42.7868537902832,18.604853790283205,0.0,39.70492935180664,39.70492935180664,91.101,40.749916076660156,-50.35108392333984,62.7,42.379234313964844,-20.32076568603516,24.0,43.13208770751953,19.13208770751953,0.0,41.28126907348633,41.28126907348633,86.7,41.324676513671875,-45.37532348632813,0.0,45.00887680053711,45.00887680053711,24.0,41.897010803222656,17.897010803222656,67.0,46.25754165649414,-20.74245834350586,67.0,44.39967346191406,-22.600326538085938,24.378,48.34428024291992,23.96628024291992,24.0,50.6759033203125,26.6759033203125,62.7,46.20491027832031,-16.49508972167969,24.0,51.75327682495117,27.753276824951172,24.0,50.60970687866211,26.60970687866211
series_67,92.97807896223954,113.79819344871402,3.4752465407478104,2866.608696,2703.895263671875,-162.71343232812478,2634.802536,2726.4345703125,91.63203431249985,2669.085145,2749.18310546875,80.09796046874999,2617.052536,2682.889404296875,65.83686829687485,2601.32971,2736.78564453125,135.45593453125002,2703.26087,2733.623779296875,30.362909296874932,2613.5,2675.956787109375,62.456787109375,2647.554348,2649.79052734375,2.236179343749882,2540.005435,2747.40771484375,207.40227984374997,2920.527174,2792.797119140625,-127.73005485937483,2614.788043,2729.5517578125,114.76371481249998,2511.376812,2639.19873046875,127.82191846875003,2945.802536,2718.147216796875,-227.65531920312515,2668.771739,2724.827392578125,56.0556535781252,2641.471014,2747.78564453125,106.3146305312498,2699.181159,2715.786865234375,16.605706234374793,2625.088768,2747.11669921875,122.02793121874993,2802.503623,2760.240478515625,-42.26314448437506,2502.139493,2738.369384765625,236.22989176562487,2677.302536,2674.101806640625,-3.2007293593751456,2657.539855,2684.947998046875,27.40814304687501,2858.280797,2760.79931640625,-97.4814805937499,2736.402174,2776.97216796875,40.56999396875017,2615.472826,2662.6240234375,47.15119743749983
series_68,0.8271192066701284,1.1929790327749545,,0.0,0.10132495313882828,0.10132495313882828,0.0,0.16925425827503204,0.16925425827503204,0.0,0.20806102454662323,0.20806102454662323,0.0,0.18240982294082642,0.18240982294082642,0.0,0.4993044137954712,0.4993044137954712,0.0,-0.002882137196138501,-0.002882137196138501,0.0,0.5787923336029053,0.5787923336029053,0.0,0.06959296762943268,0.06959296762943268,0.0,0.7588545083999634,0.7588545083999634,0.0,0.09030874073505402,0.09030874073505402,0.0,2.0914218425750732,2.0914218425750732,0.0,0.45126500725746155,0.45126500725746155,0.0,0.8435306549072266,0.8435306549072266,0.0,0.1927574723958969,0.1927574723958969,0.0,0.2803042531013489,0.2803042531013489,0.0,0.46794095635414124,0.46794095635414124,0.0,0.5610310435295105,0.5610310435295105,0.0,2.567446231842041,2.567446231842041,0.0,0.48139142990112305,0.48139142990112305,0.0,1.0866186618804932,1.0866186618804932,0.0,1.1600937843322754,1.1600937843322754,0.0,3.2345385551452637,3.2345385551452637,0.0,1.8403977155685425,1.8403977155685425,0.0,1.9313381910324097,1.9313381910324097
