series,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64
series_38,-0.023851748555898666,0.4527180790901184,0.4082256853580475,0.5257642269134521,-0.031031502410769463,0.3426036238670349,-0.7453179955482483,-0.09669940918684006,-0.5068557858467102,-0.22564058005809784,-0.579888105392456,-0.2434111088514328,-0.18468987941741943,0.3617902398109436,0.04883752018213272,-0.6447435617446899,-0.796618640422821,0.25837647914886475,0.2643444836139679,-0.5072721838951111,-0.39178019762039185,0.13974103331565857,0.5004236102104187,0.21938279271125793,0.0035837991163134575,-0.32773205637931824,0.25432950258255005,0.3624008595943451,0.24795477092266083,-0.1594463288784027,-0.490800678730011,0.009152610786259174,0.10159646719694138,-0.3020545244216919,-0.0863194465637207,-0.023159310221672058,-0.17020413279533386,-0.7022067904472351,0.07494522631168365,0.39271780848503113,0.09394287317991257,-0.10729768127202988,0.5117499828338623,-0.3302602469921112,0.5443653464317322,-0.2436303049325943,-0.37535181641578674,-0.4040522575378418,-0.03446920961141586,-0.10974958539009094,-0.2654874920845032,-0.11344841122627258,0.4252345561981201,0.3719135820865631,0.13726924359798431,0.4039890468120575,-0.658954381942749,-0.05708049610257149,-0.37589210271835327,0.06081734597682953,-0.061573326587677,-1.0526446104049683,-0.22563961148262024,-0.06952869892120361
series_39,0.03784980624914169,0.18938682973384857,0.29196658730506897,0.40817728638648987,-0.08809002488851547,0.17560838162899017,-0.30176809430122375,-0.04528936371207237,-0.2619675099849701,-0.07682672888040543,-0.2518552541732788,-0.1430516391992569,-0.15496453642845154,0.17851294577121735,-0.026600735262036324,-0.35210978984832764,-0.36986473202705383,0.07796753197908401,0.16161386668682098,-0.1488335132598877,-0.218767449259758,0.08850707113742828,0.23692728579044342,0.15445303916931152,0.06478791683912277,-0.10962363332509995,0.20084749162197113,0.219980388879776,0.2260809987783432,-0.12140453606843948,-0.2921110689640045,-0.04988538846373558,0.11354037374258041,-0.1533426195383072,-0.02766517549753189,0.057153597474098206,-0.0023389155976474285,-0.4182572364807129,-0.08187881112098694,0.25012296438217163,-0.03603047877550125,-0.15567032992839813,0.20988744497299194,-0.12014681845903397,0.2959786653518677,-0.12128113955259323,-0.2343180775642395,-0.1935150921344757,0.06961189210414886,-0.18265369534492493,-0.1352168321609497,0.13820111751556396,0.19606871902942657,0.2500181198120117,0.08476350456476212,0.13030363619327545,-0.39608705043792725,-0.032689418643713,-0.23268407583236694,-0.10827068239450455,-0.06179589405655861,-0.5206589102745056,-0.03684556484222412,-0.07780340313911438
series_40,-0.0035265954211354256,0.35734444856643677,0.33577606081962585,0.48253580927848816,-0.04643167927861214,0.28358012437820435,-0.6055727005004883,-0.09143175929784775,-0.43608546257019043,-0.1806018203496933,-0.46811264753341675,-0.2085275650024414,-0.17847058176994324,0.28629422187805176,0.04145164042711258,-0.5569942593574524,-0.6561073660850525,0.20118938386440277,0.2406904250383377,-0.3784298598766327,-0.34527379274368286,0.10799488425254822,0.413589209318161,0.1718570590019226,0.007394890300929546,-0.27534011006355286,0.23834525048732758,0.3488149046897888,0.24029512703418732,-0.14021439850330353,-0.42315661907196045,-0.022593017667531967,0.11451755464076996,-0.24556058645248413,-0.05009641498327255,0.0020967209711670876,-0.09065818041563034,-0.5916844010353088,0.016356734558939934,0.3357124626636505,0.06563961505889893,-0.14042159914970398,0.4016900062561035,-0.3015483319759369,0.46823468804359436,-0.21548615396022797,-0.3298037052154541,-0.3390786647796631,-0.0009305265848524868,-0.16671544313430786,-0.22929136455059052,-0.03258436918258667,0.3442735970020294,0.31836214661598206,0.1195695623755455,0.31866106390953064,-0.5583434700965881,-0.02272168919444084,-0.3167024254798889,-0.005051279440522194,-0.08706355094909668,-0.875764787197113,-0.20432128012180328,-0.06600520014762878
series_41,0.016898546367883682,0.36215534806251526,0.3721599280834198,0.5013982653617859,-0.08897042274475098,0.27562350034713745,-0.5762810707092285,-0.07195273786783218,-0.4154706597328186,-0.14817242324352264,-0.4223911762237549,-0.1883922666311264,-0.17819850146770477,0.29500943422317505,0.0025378779973834753,-0.5245407819747925,-0.6119214296340942,0.178852841258049,0.21276727318763733,-0.3031047284603119,-0.3205585777759552,0.13302363455295563,0.3493083715438843,0.17137256264686584,0.059099745005369186,-0.2707783877849579,0.28675615787506104,0.3017432987689972,0.305040568113327,-0.15889006853103638,-0.44034871459007263,-0.011788922362029552,0.08665500581264496,-0.23361553251743317,-0.08623480796813965,0.019782911986112595,-0.05452197045087814,-0.6311022639274597,0.01215648464858532,0.34915658831596375,0.04320744425058365,-0.19397664070129395,0.3897683024406433,-0.25533735752105713,0.437308132648468,-0.19197139143943787,-0.31167444586753845,-0.33950909972190857,0.03329205513000488,-0.20070554316043854,-0.24625712633132935,0.016397379338741302,0.34128907322883606,0.320197731256485,0.1557125747203827,0.2775067389011383,-0.5914968848228455,-0.04881636053323746,-0.3272016942501068,-0.028309842571616173,-0.06808622926473618,-0.8640196919441223,-0.12530019879341125,-0.09316477179527283
series_42,-0.018571648746728897,0.4215850532054901,0.41600140929222107,0.5289013385772705,0.010936545208096504,0.3398668169975281,-0.6744517087936401,-0.13434158265590668,-0.5009118914604187,-0.23098936676979065,-0.5582171082496643,-0.2785302698612213,-0.21663300693035126,0.359002023935318,0.02584097720682621,-0.6453477740287781,-0.7962908148765564,0.2531861662864685,0.24639271199703217,-0.5256114602088928,-0.3423651158809662,0.11393268406391144,0.49538329243659973,0.214663565158844,-0.00014386790280696005,-0.2866310179233551,0.25556617975234985,0.3726423680782318,0.24307985603809357,-0.15662270784378052,-0.4647180140018463,-0.011580134741961956,0.11667440086603165,-0.3035491108894348,-0.0753771960735321,0.0013989368453621864,-0.1517028957605362,-0.6638604998588562,0.06098702549934387,0.4098380506038666,0.07926435768604279,-0.08321989327669144,0.48190075159072876,-0.326033353805542,0.5264406800270081,-0.2657373249530792,-0.33491161465644836,-0.38468238711357117,-0.02549976296722889,-0.07242673635482788,-0.22793233394622803,-0.05903127044439316,0.43623825907707214,0.355388343334198,0.11163478344678879,0.3470540940761566,-0.6138713955879211,-0.0751933753490448,-0.36254408955574036,-0.0026171188801527023,-0.07770445942878723,-1.010578989982605,-0.19007043540477753,-0.08862918615341187
series_43,-0.07929070293903351,0.4839949905872345,0.4664058983325958,0.5222625732421875,-0.1346912533044815,0.3585723638534546,-1.0049961805343628,0.03158736601471901,-0.5544393062591553,-0.1835738718509674,-0.6927721500396729,-0.26635003089904785,-0.006138562224805355,0.44192084670066833,0.03822872042655945,-0.6582944393157959,-0.987449586391449,0.3421444594860077,0.3287477195262909,-0.7212195992469788,-0.5444043874740601,0.2947161793708801,0.720296323299408,0.38111412525177,0.04102085158228874,-0.4339018762111664,0.2568652629852295,0.33168694376945496,0.18407891690731049,-0.23743480443954468,-0.5756797790527344,0.11398529261350632,0.05379180610179901,-0.42474085092544556,-0.1036401316523552,-0.07820384949445724,-0.4290092885494232,-0.8874405026435852,0.20386792719364166,0.38984233140945435,0.14753560721874237,-0.03290089592337608,0.7067900896072388,-0.33928993344306946,0.6470702290534973,-0.2405707985162735,-0.5369614958763123,-0.5134373307228088,-0.09165147691965103,-0.10274165868759155,-0.3062403202056885,-0.2530516982078552,0.5314709544181824,0.42982199788093567,0.18482910096645355,0.6236950755119324,-0.8539636731147766,-0.12508919835090637,-0.4346383213996887,0.23450639843940735,0.09623894095420837,-1.1385769844055176,-0.24098844826221466,-0.11082473397254944
series_44,0.01521532516926527,0.22103150188922882,0.2869654595851898,0.4162401258945465,-0.02508494071662426,0.23263347148895264,-0.4064501225948334,-0.10140249133110046,-0.35207295417785645,-0.11229941248893738,-0.32895174622535706,-0.22778409719467163,-0.2062886357307434,0.20112477242946625,0.0010872724233195186,-0.44689443707466125,-0.5449855923652649,0.111091747879982,0.18548549711704254,-0.31179359555244446,-0.22911757230758667,0.07154767215251923,0.35271915793418884,0.14975525438785553,0.03914772346615791,-0.13561519980430603,0.23941288888454437,0.3154841959476471,0.21224988996982574,-0.11997285485267639,-0.33265629410743713,-0.04501987621188164,0.1172088161110878,-0.21922099590301514,-0.020074721425771713,0.05605415999889374,-0.057376451790332794,-0.48950186371803284,-0.03304967284202576,0.3075396418571472,0.017420055344700813,-0.10635622590780258,0.2675948143005371,-0.2134607434272766,0.36273330450057983,-0.18572139739990234,-0.26411840319633484,-0.2642151117324829,0.05051836371421814,-0.16331687569618225,-0.17778606712818146,0.1067797988653183,0.2944487929344177,0.25783732533454895,0.11277266591787338,0.17328143119812012,-0.45631009340286255,-0.026273395866155624,-0.2938670516014099,-0.13650105893611908,-0.07007881999015808,-0.6502307057380676,-0.07163925468921661,-0.1032600998878479
series_45,0.003246973268687725,0.3971553444862366,0.3636523187160492,0.501039981842041,-0.07362186908721924,0.28863826394081116,-0.6404208540916443,-0.07833016663789749,-0.4512503147125244,-0.1762518286705017,-0.4772074222564697,-0.19451801478862762,-0.1821218729019165,0.3135271966457367,0.03028167225420475,-0.5723438858985901,-0.672441303730011,0.21198207139968872,0.2286902666091919,-0.36578676104545593,-0.34770673513412476,0.13114683330059052,0.39335137605667114,0.1725536435842514,0.02822750061750412,-0.30131271481513977,0.2724888324737549,0.3241894841194153,0.2801995575428009,-0.15191993117332458,-0.4531402289867401,-0.011125545017421246,0.09297601133584976,-0.24988412857055664,-0.08545254170894623,0.0017046155408024788,-0.08582396060228348,-0.6418233513832092,0.0358666330575943,0.3531136214733124,0.06654609739780426,-0.16910895705223083,0.4303906261920929,-0.2960805594921112,0.47295811772346497,-0.21261915564537048,-0.32913896441459656,-0.35715290904045105,0.0024505022447556257,-0.17265793681144714,-0.25760000944137573,-0.04042551666498184,0.3621126115322113,0.3285501003265381,0.14859169721603394,0.3343491852283478,-0.6067013740539551,-0.03661453351378441,-0.3343510329723358,0.01606951840221882,-0.07316067814826965,-0.931190550327301,-0.186486154794693,-0.0717415139079094
series_46,-0.008980047889053822,0.3946838974952698,0.3710557520389557,0.5087248086929321,-0.035318244248628616,0.31601330637931824,-0.6557662487030029,-0.10077493637800217,-0.4774475693702698,-0.19518323242664337,-0.513871431350708,-0.24343162775039673,-0.1917085349559784,0.3304908871650696,0.024406680837273598,-0.5970572233200073,-0.7447508573532104,0.2340245097875595,0.24535077810287476,-0.446466326713562,-0.3446725904941559,0.12893812358379364,0.45430073142051697,0.19589149951934814,0.02095630019903183,-0.30021607875823975,0.2656189501285553,0.3558589220046997,0.26155221462249756,-0.15255242586135864,-0.454738050699234,-0.009996484033763409,0.10932988673448563,-0.27818864583969116,-0.07722094655036926,-0.00391546543687582,-0.1288362741470337,-0.6521196961402893,0.04533590376377106,0.3784560263156891,0.086077980697155,-0.12460320442914963,0.45752713084220886,-0.32028234004974365,0.4994480609893799,-0.24275784194469452,-0.344314843416214,-0.37284061312675476,-0.004404911305755377,-0.1344747245311737,-0.2457568347454071,-0.04646790772676468,0.40174171328544617,0.34358975291252136,0.1332397311925888,0.3427663743495941,-0.6118717193603516,-0.0514473132789135,-0.3516369163990021,-0.0026450883597135544,-0.07257223129272461,-0.9489357471466064,-0.18554021418094635,-0.08068022131919861
series_47,0.04025260731577873,0.06723557412624359,0.14248955249786377,0.22435294091701508,-0.051986388862133026,0.10072046518325806,-0.13050763309001923,-0.023457467555999756,-0.12798984348773956,-0.011384979821741581,-0.14114870131015778,-0.13090795278549194,-0.13136698305606842,0.05975450202822685,-0.053894855082035065,-0.17786827683448792,-0.24414274096488953,-0.0054084379225969315,0.11782323569059372,-0.12134647369384766,-0.10408354550600052,0.07450076937675476,0.185654416680336,0.11516515165567398,0.08427420258522034,-0.0006458357675001025,0.1251959502696991,0.12327486276626587,0.1258174479007721,-0.08502420783042908,-0.14612729847431183,-0.02118503674864769,0.10609543323516846,-0.10452660173177719,-0.0035160777624696493,0.056989721953868866,-0.02391742169857025,-0.24313029646873474,-0.08212970197200775,0.15414269268512726,-0.03390220180153847,-0.07290511578321457,0.09838050603866577,-0.037004973739385605,0.15780943632125854,-0.08260735869407654,-0.15741446614265442,-0.08681370317935944,0.06831709295511246,-0.09641611576080322,-0.08128394186496735,0.1530018001794815,0.10516589879989624,0.1665315479040146,0.06792052835226059,0.04681815579533577,-0.2358420193195343,-0.027499934658408165,-0.16715800762176514,-0.10990671813488007,-0.023892270401120186,-0.23767437040805817,0.030237236991524696,-0.059589505195617676
series_48,0.012814710848033428,0.3146146833896637,0.32035985589027405,0.4664030969142914,-0.06167449429631233,0.2535552978515625,-0.5270017981529236,-0.07324013859033585,-0.3941565752029419,-0.15371231734752655,-0.4065578579902649,-0.18874423205852509,-0.1672217696905136,0.2610481083393097,0.025003502145409584,-0.49852660298347473,-0.5805259346961975,0.17197032272815704,0.22396808862686157,-0.30464205145835876,-0.3093935549259186,0.10244192183017731,0.3606237769126892,0.16098088026046753,0.030697163194417953,-0.2464262843132019,0.2380521595478058,0.3198119103908539,0.24868668615818024,-0.13559550046920776,-0.3940584659576416,-0.03651242330670357,0.11404681950807571,-0.21899789571762085,-0.043856486678123474,0.01135654840618372,-0.056244440376758575,-0.5551964640617371,-0.01725621707737446,0.3116476833820343,0.04709962010383606,-0.1609865128993988,0.3495049774646759,-0.26496797800064087,0.4275391697883606,-0.1934441328048706,-0.3094266951084137,-0.3035706579685211,0.020468419417738914,-0.19207151234149933,-0.21687012910842896,0.01872367411851883,0.30595317482948303,0.29733237624168396,0.11773731559515,0.2659836709499359,-0.5168050527572632,-0.025882292538881302,-0.2978460192680359,-0.03965521603822708,-0.08655713498592377,-0.7861452698707581,-0.1581127643585205,-0.06853562593460083
